Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
March 31 2017,Alexandria City,VA,Passenger,2,0,2,185,187,1.07
February 28 2017,Wahkiakum,WA,Truck,0,0,0,1683,1683,0.00
February 28 2017,Douglas,WA,Truck,0,0,0,11734,11734,0.00
March 31 2017,Cumberland,NC,Passenger,1,0,1,652,653,0.15
March 31 2017,Dakota,MN,Passenger,0,1,1,38,39,2.56
March 31 2017,Clallam,WA,Truck,0,0,0,21612,21612,0.00
March 31 2017,Clark,WA,Passenger,730,481,1211,302953,304164,0.40
March 31 2017,Clackamas,OR,Passenger,1,2,3,337,340,0.88
March 31 2017,Douglas,WA,Truck,0,0,0,11798,11798,0.00
February 28 2017,Whatcom,WA,Truck,2,0,2,42441,42443,0.00
February 28 2017,Fairfax,VA,Passenger,0,3,3,861,864,0.35
February 28 2017,Whitman,WA,Truck,0,0,0,8619,8619,0.00
March 31 2017,Fulton,GA,Passenger,1,1,2,115,117,1.71
March 31 2017,Fairfax,VA,Passenger,0,3,3,856,859,0.35
March 31 2017,Douglas,WA,Passenger,29,19,48,27163,27211,0.18
March 31 2017,NULL,NULL,Passenger,9,4,13,2492,2505,0.52
March 31 2017,Adams,WA,Passenger,3,4,7,12477,12484,0.06
March 31 2017,Fairfax City,VA,Passenger,1,0,1,6,7,14.29
March 31 2017,Anne Arundel,MD,Passenger,0,2,2,512,514,0.39
March 31 2017,District Of Columbia,DC,Passenger,0,3,3,225,228,1.32
March 31 2017,Chelan,WA,Truck,0,0,0,21888,21888,0.00
March 31 2017,Franklin,OH,Passenger,0,1,1,111,112,0.89
March 31 2017,Hamilton,IN,Passenger,1,0,1,60,61,1.64
March 31 2017,Arlington,VA,Passenger,1,1,2,168,170,1.18
March 31 2017,Grant,WA,Passenger,18,26,44,61956,62000,0.07
March 31 2017,Grays Harbor,WA,Passenger,28,30,58,45271,45329,0.13
March 31 2017,Asotin,WA,Passenger,5,3,8,12521,12529,0.06
February 28 2017,Grant,WA,Passenger,17,26,43,61714,61757,0.07
March 31 2017,Glacier,MT,Passenger,0,1,1,3,4,25.00
March 31 2017,Guilford,NC,Passenger,1,0,1,31,32,3.12
February 28 2017,Gwinnett,GA,Passenger,0,1,1,85,86,1.16
March 31 2017,Gwinnett,GA,Passenger,0,1,1,83,84,1.19
March 31 2017,Columbia,WA,Passenger,0,1,1,2392,2393,0.04
March 31 2017,Harnett,NC,Passenger,1,0,1,264,265,0.38
March 31 2017,Howard,MD,Passenger,0,1,1,97,98,1.02
February 28 2017,Manatee,FL,Passenger,1,0,1,47,48,2.08
March 31 2017,Island,WA,Passenger,106,139,245,60741,60986,0.40
March 31 2017,Island,WA,Truck,0,0,0,21067,21067,0.00
March 31 2017,Garfield,WA,Truck,0,0,0,971,971,0.00
February 28 2017,Marion,OR,Passenger,1,0,1,177,178,0.56
March 31 2017,Jefferson,NY,Passenger,1,1,2,276,278,0.72
March 31 2017,Canyon,ID,Passenger,0,1,1,94,95,1.05
March 31 2017,Jefferson,WA,Truck,0,0,0,9700,9700,0.00
February 28 2017,Island,WA,Passenger,99,132,231,60433,60664,0.38
March 31 2017,Juneau,AK,Passenger,0,1,1,46,47,2.13
March 31 2017,Kittitas,WA,Passenger,18,16,34,27823,27857,0.12
February 28 2017,Island,WA,Truck,0,0,0,21030,21030,0.00
March 31 2017,Klickitat,WA,Passenger,22,25,47,15117,15164,0.31
March 31 2017,Klickitat,WA,Truck,0,0,0,8251,8251,0.00
